precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,24
1,DEM,Amanda Reichek,297
1,REP,Rebeca Huddle,795
2,,Over Votes,0
2,,Under Votes,58
2,DEM,Amanda Reichek,309
2,REP,Rebeca Huddle,1705
3,,Over Votes,0
3,,Under Votes,26
3,DEM,Amanda Reichek,188
3,REP,Rebeca Huddle,660
4,,Over Votes,0
4,,Under Votes,12
4,DEM,Amanda Reichek,123
4,REP,Rebeca Huddle,622
5,,Over Votes,0
5,,Under Votes,15
5,DEM,Amanda Reichek,48
5,REP,Rebeca Huddle,388
6,,Over Votes,0
6,,Under Votes,1
6,DEM,Amanda Reichek,41
6,REP,Rebeca Huddle,336
7,,Over Votes,0
7,,Under Votes,10
7,DEM,Amanda Reichek,54
7,REP,Rebeca Huddle,430
8,,Over Votes,0
8,,Under Votes,28
8,DEM,Amanda Reichek,219
8,REP,Rebeca Huddle,802
9,,Over Votes,0
9,,Under Votes,14
9,DEM,Amanda Reichek,210
9,REP,Rebeca Huddle,865
