precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,1
1,,Write-in,0
1,DEM,Beto O'Rourke,81
1,GRN,Delilah Barrios,1
1,LIB,Mark Tippetts,2
1,REP,Greg Abbott,138
10,,Over Votes,0
10,,Under Votes,2
10,,Write-in,0
10,DEM,Beto O'Rourke,232
10,GRN,Delilah Barrios,3
10,LIB,Mark Tippetts,4
10,REP,Greg Abbott,293
11,,Over Votes,0
11,,Under Votes,2
11,,Write-in,0
11,DEM,Beto O'Rourke,83
11,GRN,Delilah Barrios,4
11,LIB,Mark Tippetts,7
11,REP,Greg Abbott,1137
11B,,Over Votes,0
11B,,Under Votes,2
11B,,Write-in,0
11B,DEM,Beto O'Rourke,71
11B,GRN,Delilah Barrios,1
11B,LIB,Mark Tippetts,2
11B,REP,Greg Abbott,457
12,,Over Votes,0
12,,Under Votes,2
12,,Write-in,1
12,DEM,Beto O'Rourke,68
12,GRN,Delilah Barrios,2
12,LIB,Mark Tippetts,3
12,REP,Greg Abbott,378
13,,Over Votes,0
13,,Under Votes,1
13,,Write-in,0
13,DEM,Beto O'Rourke,78
13,GRN,Delilah Barrios,2
13,LIB,Mark Tippetts,8
13,REP,Greg Abbott,144
14,,Over Votes,0
14,,Under Votes,8
14,,Write-in,0
14,DEM,Beto O'Rourke,284
14,GRN,Delilah Barrios,3
14,LIB,Mark Tippetts,7
14,REP,Greg Abbott,670
15,,Over Votes,0
15,,Under Votes,1
15,,Write-in,0
15,DEM,Beto O'Rourke,35
15,GRN,Delilah Barrios,1
15,LIB,Mark Tippetts,3
15,REP,Greg Abbott,317
16,,Over Votes,0
16,,Under Votes,8
16,,Write-in,0
16,DEM,Beto O'Rourke,266
16,GRN,Delilah Barrios,8
16,LIB,Mark Tippetts,5
16,REP,Greg Abbott,422
17,,Over Votes,0
17,,Under Votes,6
17,,Write-in,1
17,DEM,Beto O'Rourke,72
17,GRN,Delilah Barrios,1
17,LIB,Mark Tippetts,2
17,REP,Greg Abbott,892
17B,,Over Votes,0
17B,,Under Votes,1
17B,,Write-in,0
17B,DEM,Beto O'Rourke,8
17B,GRN,Delilah Barrios,1
17B,LIB,Mark Tippetts,0
17B,REP,Greg Abbott,181
18,,Over Votes,0
18,,Under Votes,4
18,,Write-in,0
18,DEM,Beto O'Rourke,83
18,GRN,Delilah Barrios,1
18,LIB,Mark Tippetts,3
18,REP,Greg Abbott,232
19,,Over Votes,0
19,,Under Votes,2
19,,Write-in,1
19,DEM,Beto O'Rourke,246
19,GRN,Delilah Barrios,3
19,LIB,Mark Tippetts,6
19,REP,Greg Abbott,602
2,,Over Votes,0
2,,Under Votes,6
2,,Write-in,0
2,DEM,Beto O'Rourke,523
2,GRN,Delilah Barrios,8
2,LIB,Mark Tippetts,7
2,REP,Greg Abbott,200
20,,Over Votes,0
20,,Under Votes,7
20,,Write-in,0
20,DEM,Beto O'Rourke,584
20,GRN,Delilah Barrios,8
20,LIB,Mark Tippetts,2
20,REP,Greg Abbott,152
21,,Over Votes,0
21,,Under Votes,1
21,,Write-in,0
21,DEM,Beto O'Rourke,125
21,GRN,Delilah Barrios,2
21,LIB,Mark Tippetts,6
21,REP,Greg Abbott,400
