precinct,party,candidate,votes
10,,Over Votes,0
10,,Under Votes,8
10,DEM,Kermit A. Kennedy,232
10,REP,John Vaughn,294
2,,Over Votes,0
2,,Under Votes,12
2,DEM,Kermit A. Kennedy,541
2,REP,John Vaughn,191
20,,Over Votes,0
20,,Under Votes,11
20,DEM,Kermit A. Kennedy,610
20,REP,John Vaughn,132
21,,Over Votes,0
21,,Under Votes,2
21,DEM,Kermit A. Kennedy,140
21,REP,John Vaughn,392
4,,Over Votes,0
4,,Under Votes,4
4,DEM,Kermit A. Kennedy,233
4,REP,John Vaughn,321
5,,Over Votes,0
5,,Under Votes,13
5,DEM,Kermit A. Kennedy,232
5,REP,John Vaughn,407
