precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,50
1,DEM,Richard C Terrell,179
10,,Over Votes,0
10,,Under Votes,218
10,DEM,Richard C Terrell,841
11,,Over Votes,0
11,,Under Votes,153
11,DEM,Richard C Terrell,335
12,,Over Votes,0
12,,Under Votes,207
12,DEM,Richard C Terrell,895
13,,Over Votes,0
13,,Under Votes,50
13,DEM,Richard C Terrell,183
14,,Over Votes,0
14,,Under Votes,42
14,DEM,Richard C Terrell,87
15,,Over Votes,0
15,,Under Votes,206
15,DEM,Richard C Terrell,687
16,,Over Votes,0
16,,Under Votes,84
16,DEM,Richard C Terrell,340
17,,Over Votes,0
17,,Under Votes,202
17,DEM,Richard C Terrell,702
18,,Over Votes,0
18,,Under Votes,61
18,DEM,Richard C Terrell,176
19,,Over Votes,0
19,,Under Votes,81
19,DEM,Richard C Terrell,129
2,,Over Votes,0
2,,Under Votes,170
2,DEM,Richard C Terrell,191
20,,Over Votes,0
20,,Under Votes,56
20,DEM,Richard C Terrell,317
22,,Over Votes,0
22,,Under Votes,208
22,DEM,Richard C Terrell,722
3,,Over Votes,0
3,,Under Votes,418
3,DEM,Richard C Terrell,427
4,,Over Votes,0
4,,Under Votes,239
4,DEM,Richard C Terrell,509
5,,Over Votes,0
5,,Under Votes,38
5,DEM,Richard C Terrell,114
6,,Over Votes,0
6,,Under Votes,158
6,DEM,Richard C Terrell,416
7,,Over Votes,0
7,,Under Votes,419
7,DEM,Richard C Terrell,1140
8,,Over Votes,0
8,,Under Votes,809
8,DEM,Richard C Terrell,1259
9,,Over Votes,0
9,,Under Votes,87
9,DEM,Richard C Terrell,260
