precinct,party,candidate,votes
1,,Jacqueline Abernathy (W),1
1,,Mark V Goloby (W),0
1,,Over Votes,0
1,,Under Votes,7
1,DEM,Beto O'Rourke,209
1,GRN,Delilah Barrios,4
1,LIB,Mark Tippetts,12
1,REP,Greg Abbott,1092
1A,,Jacqueline Abernathy (W),0
1A,,Mark V Goloby (W),0
1A,,Over Votes,0
1A,,Under Votes,0
1A,DEM,Beto O'Rourke,122
1A,GRN,Delilah Barrios,1
1A,LIB,Mark Tippetts,5
1A,REP,Greg Abbott,595
2,,Jacqueline Abernathy (W),1
2,,Mark V Goloby (W),0
2,,Over Votes,0
2,,Under Votes,8
2,DEM,Beto O'Rourke,362
2,GRN,Delilah Barrios,8
2,LIB,Mark Tippetts,27
2,REP,Greg Abbott,1206
3,,Jacqueline Abernathy (W),2
3,,Mark V Goloby (W),0
3,,Over Votes,0
3,,Under Votes,14
3,DEM,Beto O'Rourke,606
3,GRN,Delilah Barrios,11
3,LIB,Mark Tippetts,29
3,REP,Greg Abbott,2143
4,,Jacqueline Abernathy (W),0
4,,Mark V Goloby (W),0
4,,Over Votes,0
4,,Under Votes,15
4,DEM,Beto O'Rourke,487
4,GRN,Delilah Barrios,8
4,LIB,Mark Tippetts,17
4,REP,Greg Abbott,1905
4A,,Jacqueline Abernathy (W),0
4A,,Mark V Goloby (W),0
4A,,Over Votes,0
4A,,Under Votes,1
4A,DEM,Beto O'Rourke,138
4A,GRN,Delilah Barrios,1
4A,LIB,Mark Tippetts,9
4A,REP,Greg Abbott,640
