precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,22
1,DEM,Josh Tutt,204
1,REP,Lois W. Kolkhorst,1099
1A,,Over Votes,0
1A,,Under Votes,11
1A,DEM,Josh Tutt,122
1A,REP,Lois W. Kolkhorst,590
2,,Over Votes,0
2,,Under Votes,35
2,DEM,Josh Tutt,366
2,REP,Lois W. Kolkhorst,1211
3,,Over Votes,0
3,,Under Votes,42
3,DEM,Josh Tutt,560
3,REP,Lois W. Kolkhorst,2203
4,,Over Votes,0
4,,Under Votes,54
4,DEM,Josh Tutt,468
4,REP,Lois W. Kolkhorst,1910
4A,,Over Votes,0
4A,,Under Votes,8
4A,DEM,Josh Tutt,129
4A,REP,Lois W. Kolkhorst,652
