precinct,party,candidate,votes
1,,Justin Beller,0
1,,Over Votes,0
1,,Under Votes,0
2,,Justin Beller,407
2,,Over Votes,0
2,,Under Votes,202
3,,Justin Beller,193
3,,Over Votes,0
3,,Under Votes,81
4,,Justin Beller,102
4,,Over Votes,0
4,,Under Votes,61
5,,Justin Beller,0
5,,Over Votes,0
5,,Under Votes,0
6,,Justin Beller,0
6,,Over Votes,0
6,,Under Votes,0
7,,Justin Beller,0
7,,Over Votes,0
7,,Under Votes,0
8,,Justin Beller,0
8,,Over Votes,0
8,,Under Votes,0
9,,Justin Beller,2
9,,Over Votes,0
9,,Under Votes,0
10,,Justin Beller,0
10,,Over Votes,0
10,,Under Votes,0
11,,Justin Beller,0
11,,Over Votes,0
11,,Under Votes,0
12,,Justin Beller,0
12,,Over Votes,0
12,,Under Votes,0
13,,Justin Beller,0
13,,Over Votes,0
13,,Under Votes,0
14,,Justin Beller,0
14,,Over Votes,0
14,,Under Votes,0
15,,Justin Beller,0
15,,Over Votes,0
15,,Under Votes,0
16,,Justin Beller,0
16,,Over Votes,0
16,,Under Votes,1
17,,Justin Beller,0
17,,Over Votes,0
17,,Under Votes,0
18,,Justin Beller,0
18,,Over Votes,0
18,,Under Votes,0
19,,Justin Beller,0
19,,Over Votes,0
19,,Under Votes,0
20,,Justin Beller,57
20,,Over Votes,0
20,,Under Votes,42
21,,Justin Beller,0
21,,Over Votes,0
21,,Under Votes,0
22,,Justin Beller,0
22,,Over Votes,0
22,,Under Votes,0
23,,Justin Beller,0
23,,Over Votes,0
23,,Under Votes,0
24,,Justin Beller,0
24,,Over Votes,0
24,,Under Votes,0
25,,Justin Beller,0
25,,Over Votes,0
25,,Under Votes,0
26,,Justin Beller,0
26,,Over Votes,0
26,,Under Votes,0
27,,Justin Beller,0
27,,Over Votes,0
27,,Under Votes,0
28,,Justin Beller,0
28,,Over Votes,0
28,,Under Votes,0
29,,Justin Beller,0
29,,Over Votes,0
29,,Under Votes,0
30,,Justin Beller,0
30,,Over Votes,0
30,,Under Votes,0
31,,Justin Beller,0
31,,Over Votes,0
31,,Under Votes,0
32,,Justin Beller,0
32,,Over Votes,0
32,,Under Votes,0
33,,Justin Beller,0
33,,Over Votes,0
33,,Under Votes,0
34,,Justin Beller,0
34,,Over Votes,0
34,,Under Votes,0
35,,Justin Beller,0
35,,Over Votes,0
35,,Under Votes,0
36,,Justin Beller,0
36,,Over Votes,0
36,,Under Votes,0
37,,Justin Beller,0
37,,Over Votes,0
37,,Under Votes,0
38,,Justin Beller,0
38,,Over Votes,0
38,,Under Votes,0
39,,Justin Beller,0
39,,Over Votes,0
39,,Under Votes,0
40,,Justin Beller,0
