precinct,party,candidate,votes
1,,Allison Inesta,0
1,,Nathan Bryan,0
1,,Over Votes,0
1,,Under Votes,0
2,,Allison Inesta,0
2,,Nathan Bryan,0
2,,Over Votes,0
2,,Under Votes,0
3,,Allison Inesta,0
3,,Nathan Bryan,0
3,,Over Votes,0
3,,Under Votes,0
4,,Allison Inesta,0
4,,Nathan Bryan,0
4,,Over Votes,0
4,,Under Votes,0
5,,Allison Inesta,0
5,,Nathan Bryan,0
5,,Over Votes,0
5,,Under Votes,0
6,,Allison Inesta,0
6,,Nathan Bryan,0
6,,Over Votes,0
6,,Under Votes,0
7,,Allison Inesta,0
7,,Nathan Bryan,0
7,,Over Votes,0
7,,Under Votes,0
8,,Allison Inesta,0
8,,Nathan Bryan,0
8,,Over Votes,0
8,,Under Votes,0
9,,Allison Inesta,40
9,,Nathan Bryan,66
9,,Over Votes,0
9,,Under Votes,0
10,,Allison Inesta,0
10,,Nathan Bryan,0
10,,Over Votes,0
10,,Under Votes,0
11,,Allison Inesta,0
11,,Nathan Bryan,0
11,,Over Votes,0
11,,Under Votes,0
12,,Allison Inesta,0
12,,Nathan Bryan,0
12,,Over Votes,0
12,,Under Votes,0
13,,Allison Inesta,0
13,,Nathan Bryan,0
13,,Over Votes,0
13,,Under Votes,0
14,,Allison Inesta,0
14,,Nathan Bryan,0
14,,Over Votes,0
14,,Under Votes,0
15,,Allison Inesta,0
15,,Nathan Bryan,0
15,,Over Votes,0
15,,Under Votes,0
16,,Allison Inesta,0
16,,Nathan Bryan,0
16,,Over Votes,0
16,,Under Votes,0
17,,Allison Inesta,0
17,,Nathan Bryan,0
17,,Over Votes,0
17,,Under Votes,0
18,,Allison Inesta,0
18,,Nathan Bryan,0
18,,Over Votes,0
18,,Under Votes,0
19,,Allison Inesta,0
19,,Nathan Bryan,0
19,,Over Votes,0
19,,Under Votes,0
20,,Allison Inesta,0
20,,Nathan Bryan,0
20,,Over Votes,0
20,,Under Votes,0
21,,Allison Inesta,0
21,,Nathan Bryan,0
21,,Over Votes,0
21,,Under Votes,0
22,,Allison Inesta,0
22,,Nathan Bryan,0
22,,Over Votes,0
