precinct,party,candidate,votes
10,,Over Votes,0
10,,Under Votes,19
10,DEM,Dana Huffman,60
10,REP,Scott Walker,466
11,,Over Votes,0
11,,Under Votes,14
11,DEM,Dana Huffman,41
11,REP,Scott Walker,432
12,,Over Votes,0
12,,Under Votes,2
12,DEM,Dana Huffman,3
12,REP,Scott Walker,74
13,,Over Votes,0
13,,Under Votes,34
13,DEM,Dana Huffman,44
13,REP,Scott Walker,565
14,,Over Votes,0
14,,Under Votes,6
14,DEM,Dana Huffman,8
14,REP,Scott Walker,132
15,,Over Votes,0
15,,Under Votes,10
15,DEM,Dana Huffman,37
15,REP,Scott Walker,295
16,,Over Votes,0
16,,Under Votes,5
16,DEM,Dana Huffman,18
16,REP,Scott Walker,145
2,,Over Votes,0
2,,Under Votes,27
2,DEM,Dana Huffman,148
2,REP,Scott Walker,1312
3,,Over Votes,0
3,,Under Votes,16
3,DEM,Dana Huffman,56
3,REP,Scott Walker,673
4,,Over Votes,0
4,,Under Votes,4
4,DEM,Dana Huffman,27
4,REP,Scott Walker,241
5,,Over Votes,0
5,,Under Votes,11
5,DEM,Dana Huffman,63
5,REP,Scott Walker,468
6,,Over Votes,0
6,,Under Votes,15
6,DEM,Dana Huffman,59
6,REP,Scott Walker,409
7,,Over Votes,0
7,,Under Votes,10
7,DEM,Dana Huffman,76
7,REP,Scott Walker,605
8,,Over Votes,0
8,,Under Votes,9
8,DEM,Dana Huffman,55
8,REP,Scott Walker,448
9,,Over Votes,0
9,,Under Votes,12
9,DEM,Dana Huffman,86
9,REP,Scott Walker,641
